Overnight Menace 1: X
X_XOO____; X; {(0, 1): X: 57, (1, 2): X: 18, (2, 0): X: 1, (2, 1): X: 6, (2, 2): X: 2}
XO_OOXX__; X; {(2, 1): X: 259377}
XXOXOO___; X; {(2, 0): X: 108, (2, 1): X: 2, (2, 2): X: 1}
XXOOOX___; X; {(2, 0): X: 1778, (2, 2): X: 1}
_XXO__O__; X; {(0, 0): X: 36, (1, 1): X: 5, (1, 2): X: 10, (2, 1): X: 2, (2, 2): X: 4}
XXOOX__O_; X; {(1, 2): X: 53, (2, 0): X: 50, (2, 2): X: 543}
OX_OX____; X; {(0, 2): X: 14, (1, 2): X: 4, (2, 0): X: 9, (2, 1): X: 27, (2, 2): X: 2}
XX__O___O; X; {(0, 2): X: 9, (1, 0): X: 30, (1, 2): X: 1, (2, 0): X: 42, (2, 1): X: 8}
XX__OX_OO; X; {(0, 2): X: 33, (2, 0): X: 21}
XXOX_O_O_; X; {(1, 1): X: 4, (2, 0): X: 30, (2, 2): X: 69}
OXO_X____; X; {(1, 0): X: 3, (2, 0): X: 3, (2, 1): X: 12}
XO_OXXO__; X; {(0, 2): X: 69, (2, 1): X: 77, (2, 2): X: 387}
_XX__OO__; X; {(0, 0): X: 366, (1, 0): X: 22, (1, 1): X: 172, (2, 1): X: 105, (2, 2): X: 31}
XO__XOXO_; X; {(0, 2): X: 9, (1, 0): X: 3}
XOXOO___X; X; {(1, 2): X: 6, (2, 0): X: 2, (2, 1): X: 6}
OO_OXX__X; X; {(0, 2): X: 21, (2, 0): X: 1, (2, 1): X: 1}
OXX_O_OX_; X; {(1, 0): X: 2, (1, 2): X: 2, (2, 2): X: 4}
OXX_OXO__; X; {(1, 0): X: 2, (2, 1): X: 2, (2, 2): X: 69}
XOO_OX_X_; X; {(1, 0): X: 1, (2, 0): X: 75, (2, 2): X: 2}
OXOXX_O__; X; {(1, 2): X: 9, (2, 2): X: 18}
_X_XXOO_O; X; {(0, 0): X: 2, (0, 2): X: 4, (2, 1): X: 45}
OOX_XX_O_; X; {(1, 0): X: 54, (2, 0): X: 51, (2, 2): X: 15}
X_XOOX_O_; X; {(0, 1): X: 9, (2, 0): X: 2, (2, 2): X: 39}
XXOO__O_X; X; {(1, 1): X: 144}
_X_OOX_OX; X; {(0, 0): X: 42, (0, 2): X: 261, (2, 0): X: 55}
_X_OX_OOX; X; {(0, 0): X: 42, (0, 2): X: 9, (1, 2): X: 2}
_O__XO_X_; X; {(0, 0): X: 6, (0, 2): X: 5, (1, 0): X: 5, (2, 0): X: 26, (2, 2): X: 47}
OX_OXX__O; X; {(0, 2): X: 1, (2, 0): X: 6, (2, 1): X: 33}
OX___X__O; X; {(0, 2): X: 2, (1, 0): X: 3, (1, 1): X: 12, (2, 0): X: 3}
OX__XXO_O; X; {(0, 2): X: 2, (1, 0): X: 9}
XOXOO_X__; X; {(1, 2): X: 1, (2, 2): X: 3}
XOXX_O__O; X; {(1, 1): X: 8, (2, 0): X: 36, (2, 1): X: 5}
XX_OOX__O; X; {(0, 2): X: 150, (2, 0): X: 26, (2, 1): X: 25}
_XXOOXO__; X; {(0, 0): X: 114, (2, 1): X: 2, (2, 2): X: 18}
XXO_O____; X; {(1, 2): X: 9, (2, 0): X: 107631}
X_OO_X_XO; X; {(0, 1): X: 1234, (1, 1): X: 2874, (2, 0): X: 4656}
_X_O_O_X_; X; {(0, 0): X: 12, (1, 1): X: 3}
_X_OXXOO_; X; {(0, 0): X: 1, (0, 2): X: 3}
XX_OXO_O_; X; {(0, 2): X: 90, (2, 0): X: 6, (2, 2): X: 3}
_X_OOX___; X; {(0, 0): X: 50, (0, 2): X: 232, (2, 0): X: 34, (2, 2): X: 10}
XOOO_XOXX; X; {(1, 1): X: 129}
X__XOX_OO; X; {(0, 2): X: 1, (2, 0): X: 18}
X_OX_XOO_; X; {(0, 1): X: 2, (1, 1): X: 15, (2, 2): X: 4}
XOOXOO_XX; X; {(2, 0): X: 33}
OX_XOO_X_; X; {(2, 2): X: 4913}
